Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1968-04-17,17:00:00,Titan IIIB,OPS 5105,Retired,59.0,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1968-06-05,17:31:00,Titan IIIB,OPS 5138,Retired,59.0,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1968-08-06,16:33:00,Titan IIIB,OPS 5187,Retired,59.0,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1968-08-06,18:30:00,Titan IIIB,OPS 5247,Retired,59.0,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1968-11-06,19:10:00,Titan IIIB,OPS 5296,Retired,59.0,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1968-12-04,19:23:00,Titan IIIB,OPS 6518,Retired,59.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1968-12-21,12:51:00,Saturn V,Apollo 8,Retired,Unknown,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1969-01-22,19:10:00,Titan IIIB,OPS 7585,Retired,59.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-03-03,16:00:00,Saturn V,Apollo 9,Retired,Unknown,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1969-03-04,19:30:00,Titan IIIB,OPS 4248,Retired,59.0,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1969-04-15,17:30:00,Titan IIIB,OPS 5310,Retired,59.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1969-05-18,16:49:00,Saturn V,Apollo 10,Retired,Unknown,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1969-06-03,16:49:00,Titan IIIB,OPS 1077,Retired,59.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-07-16,13:32:00,Saturn V,Apollo 11,Retired,Unknown,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1969-11-14,16:22:00,Saturn V,Apollo 12,Retired,Unknown,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1970-04-11,19:13:00,Saturn V,Apollo 13,Retired,Unknown,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-01-31,21:03:00,Saturn V,Apollo 14,Retired,Unknown,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1971-07-26,13:34:00,Saturn V,Apollo 15,Retired,Unknown,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-04-16,17:54:00,Saturn V,Apollo 16,Retired,Unknown,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1972-12-19,19:24:00,Saturn V,Apollo 17,Retired,Unknown,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1973-05-14,17:30:00,Saturn V,Skylab 1,Retired,Unknown,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1981-04-12,12:00:00,Space Shuttle Columbia,STS-1,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1981-11-12,15:09:00,Space Shuttle Columbia,STS-2,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-03-22,16:00:00,Space Shuttle Columbia,STS-3,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-06-27,16:09:00,Space Shuttle Columbia,STS-4,Retired,450.0,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1982-09-09,07:19:00,Long March 2C,FSW-0 No.4,Active,30.8,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1982-11-11,12:19:00,Space Shuttle Columbia,STS-5,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-04-04,18:30:00,Space Shuttle Challenger,STS-6,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-06-18,11:33:00,Space Shuttle Challenger,STS-7,Retired,450.0,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1983-08-19,06:00:00,Long March 2C,FSW-0 No.5,Active,30.8,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-09-05,07:40:00,Space Shuttle Challenger,STS-8,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-11-28,16:00:00,Space Shuttle Columbia,STS-9,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1984-02-03,13:00:00,Space Shuttle Challenger,STS-41-B,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1984-04-06,13:58:00,Space Shuttle Challenger,STS-41-C,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1984-08-30,12:41:00,Space Shuttle Discovery,STS-41-D,Retired,450.0,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1984-09-12,05:44:00,Long March 2C,FSW-0 No.6,Active,30.8,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1984-10-05,11:03:00,Space Shuttle Challenger,STS-41-G,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1984-11-08,12:15:00,Space Shuttle Discovery,STS-51-A,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-01-24,19:50:00,Space Shuttle Discovery,STS-51-C,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-04-12,13:59:00,Space Shuttle Discovery,STS-51-D,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-05-06,16:02:00,Space Shuttle Challenger,STS-51-B,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-06-17,11:33:00,Space Shuttle Discovery,STS-51-G,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-07-25,21:00:00,Space Shuttle Challenger,STS-51-F,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-08-27,10:58:00,Space Shuttle Discovery,STS-51-I,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-10-03,15:15:00,Space Shuttle Atlantis,STS-51-J,Retired,450.0,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1985-10-21,05:04:00,Long March 2C,FSW-0 No.7,Active,30.8,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-11-06,17:00:00,Space Shuttle Challenger,STS-61-A,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-11-27,00:29:00,Space Shuttle Atlantis,STS-61-B,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1986-01-12,11:55:00,Space Shuttle Columbia,STS-61-C,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1986-01-28,16:38:00,Space Shuttle Challenger,STS-51-L,Retired,450.0,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1986-10-06,05:40:00,Long March 2C,FSW-0 No.8,Active,30.8,Success
RVSN USSR,"Site 250, Baikonur Cosmodrome, Kazakhstan",1987-05-15,17:30:00,Energiya/Polyus,Polyus Space Station,Retired,Unknown,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1987-08-05,06:39:00,Long March 2C,FSW-0 No.9,Active,30.8,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1987-09-09,07:15:00,Long March 2C,FSW-1 No.1,Active,30.8,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1988-08-05,07:29:00,Long March 2C,FSW-1 No.2,Active,30.8,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1988-09-05,09:25:00,Titan II(23)G,USA-32,Retired,35.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1988-09-29,15:37:00,Space Shuttle Discovery,STS-26R,Retired,450.0,Success
RVSN USSR,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",1988-11-15,03:00:00,Energiya/Buran,Buran,Retired,Unknown,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1988-12-02,14:30:00,Space Shuttle Atlantis,STS-27R,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-03-13,14:57:00,Space Shuttle Discovery,STS-29R,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-05-04,18:46:00,Space Shuttle Atlantis,STS-30R,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-08-08,12:37:00,Space Shuttle Columbia,STS-28R,Retired,450.0,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1989-09-06,01:48:00,Titan II(23)G,USA-45,Retired,35.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-10-18,16:53:00,Space Shuttle Atlantis,STS-34R,Retired,450.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-11-23,00:23:00,Space Shuttle Discovery,STS-33R,Retired,450.0,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-01-01,00:07:00,Commercial Titan III,Skynet 4A & JCSAT-2,Retired,136.6,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-01-09,12:35:00,Space Shuttle Columbia,STS-32,Retired,450.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-02-28,07:50:00,Space Shuttle Atlantis,STS-36,Retired,450.0,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-03-14,11:52:00,Commercial Titan III,Intelsat 603,Retired,136.6,Failure
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1990-04-05,19:10:00,Pegasus,Pegsat & NavySat,Retired,40.0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-04-24,12:33:00,Space Shuttle Discovery,STS-31,Retired,450.0,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-06-23,11:19:00,Commercial Titan III,Intelsat 604,Retired,136.6,Success
